family,alpha,final_f1_star,count_min,count_sketch,double_mg,double_ss,integrated_sspm
uniform,6.0,500000,0.0035560136965600004,1.2655199154035951e-05,1.006308474746966e-05,0.001655932927136,4.454975577823657e-05
uniform,8.0,50000,0.0033437820301600004,2.2293245469522243e-05,2.53007223419085e-05,0.0012345750855400001,7.528272715752124e-05
uniform,8.0,100000,0.0034369949071580003,1.8323316357194832e-05,1.577183437193559e-05,0.0012341883086070002,6.526776958846046e-05
uniform,8.0,200000,0.0035036798015880004,1.529582480604021e-05,1.15207487830541e-05,0.001238438667082,5.8668123533016534e-05
uniform,8.0,500000,0.0035582612484770003,1.2595980637824672e-05,1.005553039680383e-05,0.00123993649931,5.4987370306634864e-05
zipf,1.5,50000,0.0008259037370940001,2.620328631670787e-06,7.222916969608841e-05,0.003247669041733,0.000114587756289
zipf,1.5,100000,0.000844500133061,3.6840237736183797e-06,4.394571099086312e-05,0.0032659850971340004,6.528342056240576e-05
zipf,1.5,200000,0.0008583205958900001,4.2952871462590675e-06,2.750816857728304e-05,0.003287466633438,4.2000886082959526e-05
zipf,1.5,500000,0.000865041792168,4.479166666666667e-06,1.559123995983935e-05,0.0032984044302200003,2.4501317771084333e-05
zipf,2.0,50000,0.0008205884066410001,2.4584911156422952e-06,6.735799592193418e-05,0.002252519662103,0.00011200699096900001
zipf,2.0,100000,0.0008402044971670001,3.670325779036827e-06,4.068431303116147e-05,0.0022593236543900002,6.937234419263457e-05
zipf,2.0,200000,0.000858362757695,4.201352030839712e-06,2.588328956924967e-05,0.002294093804123,4.434130398346276e-05
zipf,2.0,500000,0.0008641968513850001,4.481675062972292e-06,1.45801007556675e-05,0.002301417002518,2.4973803526448364e-05
zipf,3.0,50000,0.0008412140391250001,2.448216340621404e-06,6.0120828538550065e-05,0.0013397008055230002,0.00011615650172600001
zipf,3.0,100000,0.000841724869595,3.6177172663778617e-06,3.6770400495093275e-05,0.0013531809742720001,7.618689771019362e-05
zipf,3.0,200000,0.000858546788482,4.204318936877077e-06,2.318410852713178e-05,0.0013767696566990002,4.646954595791805e-05
