algorithm,alpha,avg_abs_error,avg_norm_abs_error,avg_relative_error,dataset_name,deletions,domain_size,estimator_seed,family,final_f1_star,heavy_avg_norm_abs_error,heavy_avg_relative_error,heavy_query_count,hh_f1,hh_precision,hh_recall,insertions,logical_size,max_norm_abs_error,memory_usage_bytes,middle_avg_norm_abs_error,middle_avg_relative_error,middle_query_count,observed_final_f1,param_capacity_per_summary,seed,stream_length,stream_mode,support_size,tail_avg_norm_abs_error,tail_avg_relative_error,tail_query_count,validation,param_depth,param_seed,param_width,param_capacity,zipf_s,average_transaction_size,distinct_items,occurrence_count,source_path,transaction_count
double_mg,1.5,2.3100140978529664,1.1550070489264832e-05,0.9994379843041702,uniform__F1_200000__alpha_1p5__non_interleaved,50000,100000,20260419,uniform,200000,4.1450000000000005e-05,1.0,100,0.0,0.0,0.0,250000,298,5e-05,12180,1.0350000000000001e-05,1.0,100,200000,149,20260419,300000,non-interleaved,86538,4.95e-06,0.99,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 250000}",,,,,,,,,,
double_ss,1.5,1330.6894543437566,0.006653447271718783,768.5647304175393,uniform__F1_200000__alpha_1p5__non_interleaved,50000,100000,20260420,uniform,200000,0.006623550000000001,160.44111111111113,100,0.0,0.0,0.0,250000,300,0.006665,36588,0.00665465,649.9483333333334,100,200000,150,20260419,300000,non-interleaved,86538,0.00666005,1332.01,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 250000}",,,,,,,,,,
count_min,1.5,700.5203609974809,0.0035026018049874046,404.4052765424273,uniform__F1_200000__alpha_1p5__non_interleaved,50000,100000,20260421,uniform,200000,0.0035055999999999998,84.92033333333333,100,0.01,0.01,0.01,250000,1360,0.003825,52972,0.0035163499999999997,343.43833333333333,100,200000,,20260419,300000,non-interleaved,86538,0.0035147,702.94,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 250000}",5,20260421,272,,,,,,,
count_sketch,1.5,3.040363770829,1.5201818854145002e-05,1.7521905781733835,uniform__F1_200000__alpha_1p5__non_interleaved,50000,100000,20260422,uniform,200000,1.65e-05,0.39869444444444446,100,0.09,0.09,0.09,250000,50000,9e-05,782804,1.67e-05,1.6283333333333334,100,200000,,20260419,300000,non-interleaved,86538,1.46e-05,2.92,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 250000}",5,20260422,10000,,,,,,,
integrated_sspm,1.5,5.075862626822898,2.5379313134114492e-05,2.3803602105983717,uniform__F1_200000__alpha_1p5__non_interleaved,50000,100000,20260423,uniform,200000,4.1450000000000005e-05,1.0,100,0.0,0.0,0.0,250000,125,0.009995,23078,1.0350000000000001e-05,1.0,100,200000,,20260419,300000,non-interleaved,86538,0.00010490000000000002,20.98,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 50000, 'total_insertions': 250000}",,,,125,,,,,,
double_mg,2.0,2.3125932264144398,1.1562966132072199e-05,1.0,uniform__F1_200000__alpha_2p0__non_interleaved,100000,100000,20260419,uniform,200000,4.135000000000001e-05,1.0,100,0.01,0.01,0.01,300000,398,5e-05,25196,1.0350000000000001e-05,1.0,100,200000,199,20260419,400000,non-interleaved,86483,5e-06,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 300000}",,,,,,,,,,
double_ss,2.0,998.6852791878173,0.004993426395939087,577.1732679043813,uniform__F1_200000__alpha_2p0__non_interleaved,100000,100000,20260420,uniform,200000,0.0049635999999999994,120.48122222222223,100,0.01,0.01,0.01,300000,400,0.005,60564,0.0049946,487.81666666666666,100,200000,200,20260419,400000,non-interleaved,86483,0.005,1000.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 300000}",,,,,,,,,,
count_min,2.0,702.1513014118382,0.0035107565070591905,405.57961973075174,uniform__F1_200000__alpha_2p0__non_interleaved,100000,100000,20260421,uniform,200000,0.0035116,85.2401388888889,100,0.01,0.01,0.01,300000,1360,0.003865,52948,0.003501,341.975,100,200000,,20260419,400000,non-interleaved,86483,0.0035245,704.9,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 300000}",5,20260421,272,,,,,,,
count_sketch,2.0,3.0692390411988484,1.5346195205994244e-05,1.7716671906709256,uniform__F1_200000__alpha_2p0__non_interleaved,100000,100000,20260422,uniform,200000,1.705e-05,0.41447222222222224,100,0.07,0.07,0.07,300000,50000,9.5e-05,783648,1.3800000000000002e-05,1.3433333333333335,100,200000,,20260419,400000,non-interleaved,86483,1.655e-05,3.31,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 300000}",5,20260422,10000,,,,,,,
integrated_sspm,2.0,5.654556386804343,2.8272781934021716e-05,2.665788982475499,uniform__F1_200000__alpha_2p0__non_interleaved,100000,100000,20260423,uniform,200000,4.135000000000001e-05,1.0,100,0.0,0.0,0.0,300000,150,0.009995,25698,1.0350000000000001e-05,1.0,100,200000,,20260419,400000,non-interleaved,86483,5e-06,1.0,100,"{'alpha_ok': True, 'failure_prefix': None, 'failure_reason': None, 'final_f1_ok': True, 'observed_final_f1': 200000, 'strict_turnstile_ok': True, 'total_deletions': 100000, 'total_insertions': 300000}",,,,150,,,,,,
