algorithm_variant,algorithm,family,stream_mode,alpha,final_f1_star,num_runs,config_epsilon,config_delta,config_target_logical_size,avg_norm_abs_error,avg_relative_error,avg_memory_usage_bytes,avg_logical_size,avg_hh_f1
count_min__eps_0p05,count_min,zipf,non-interleaved,2.0,200000,1,0.05,0.01,,0.006694543270573775,1024.098545196773,12644.0,275.0,0.16
count_min__eps_0p05,count_min,zipf,non-interleaved,2.0,500000,1,0.05,0.01,,0.006710642443324938,2409.3851602563727,12644.0,275.0,0.15
count_min__eps_0p05,count_min,zipf,non-interleaved,3.0,50000,1,0.05,0.01,,0.006745825661680092,273.46807596690735,12644.0,275.0,0.20000000000000004
count_min__eps_0p05,count_min,zipf,non-interleaved,3.0,100000,1,0.05,0.01,,0.0066508054106621875,528.6530423722088,12644.0,275.0,0.19
count_min__eps_0p05,count_min,zipf,non-interleaved,3.0,200000,1,0.05,0.01,,0.006700224529346622,1031.5864610371777,12644.0,275.0,0.16
count_min__eps_0p05,count_min,zipf,non-interleaved,3.0,500000,1,0.05,0.01,,0.0067283963110353106,2409.3545367232805,12644.0,275.0,0.14
count_min__eps_0p05,count_min,zipf,non-interleaved,4.0,50000,1,0.05,0.01,,0.006664144144144144,268.9536774191889,12644.0,275.0,0.19
count_min__eps_0p05,count_min,zipf,non-interleaved,4.0,100000,1,0.05,0.01,,0.006649172462364645,528.3168485626347,12644.0,275.0,0.18
count_min__eps_0p05,count_min,zipf,non-interleaved,4.0,200000,1,0.05,0.01,,0.006653492338664579,1019.3898340991128,12644.0,275.0,0.16
count_min__eps_0p05,count_min,zipf,non-interleaved,4.0,500000,1,0.05,0.01,,0.0067064786978508215,2406.9261319291827,12644.0,275.0,0.15
count_min__eps_0p05,count_min,zipf,non-interleaved,6.0,50000,1,0.05,0.01,,0.006630015972121388,267.73918230087094,12616.0,275.0,0.20000000000000004
count_min__eps_0p05,count_min,zipf,non-interleaved,6.0,100000,1,0.05,0.01,,0.006698132673792068,533.1364845353772,12644.0,275.0,0.16
count_min__eps_0p05,count_min,zipf,non-interleaved,6.0,200000,1,0.05,0.01,,0.006708873796136503,1028.4418467604612,12644.0,275.0,0.16
count_min__eps_0p05,count_min,zipf,non-interleaved,6.0,500000,1,0.05,0.01,,0.006687306953830607,2403.4437037031103,12644.0,275.0,0.15
count_min__eps_0p05,count_min,zipf,non-interleaved,8.0,50000,1,0.05,0.01,,0.00669212086659065,271.5916045326238,12644.0,275.0,0.19
count_min__eps_0p05,count_min,zipf,non-interleaved,8.0,100000,1,0.05,0.01,,0.006689441449403447,532.4152332436223,12644.0,275.0,0.18
count_min__eps_0p05,count_min,zipf,non-interleaved,8.0,200000,1,0.05,0.01,,0.006715151617821447,1023.4306181865182,12644.0,275.0,0.16
count_min__eps_0p05,count_min,zipf,non-interleaved,8.0,500000,1,0.05,0.01,,0.006720637795028128,2416.683530774039,12644.0,275.0,0.15
count_min__eps_0p10,count_min,kosarak,non-interleaved,1.5,50000,1,0.1,0.01,,0.02350663211156362,733.9158678560013,7572.0,140.0,0.13
count_min__eps_0p10,count_min,kosarak,non-interleaved,1.5,100000,1,0.1,0.01,,0.02351573776512717,1347.3483161019153,7892.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,kosarak,non-interleaved,1.5,200000,1,0.1,0.01,,0.02338296206919992,2548.825673064731,7596.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,kosarak,non-interleaved,1.5,500000,1,0.1,0.01,,0.023395027668373373,5619.033620521001,7572.0,140.0,0.09
count_min__eps_0p10,count_min,kosarak,non-interleaved,2.0,50000,1,0.1,0.01,,0.023531359901900674,736.5367419260804,7572.0,140.0,0.11
count_min__eps_0p10,count_min,kosarak,non-interleaved,2.0,100000,1,0.1,0.01,,0.02350104293381038,1384.5185215605036,7820.0,140.0,0.12
count_min__eps_0p10,count_min,kosarak,non-interleaved,2.0,200000,1,0.1,0.01,,0.023454702161127067,2534.7062267094707,7572.0,140.0,0.09
count_min__eps_0p10,count_min,kosarak,non-interleaved,2.0,500000,1,0.1,0.01,,0.023426292287943122,5631.6157979051595,7572.0,140.0,0.09
count_min__eps_0p10,count_min,kosarak,non-interleaved,3.0,50000,1,0.1,0.01,,0.023534428678118,732.2700117244684,7572.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,kosarak,non-interleaved,3.0,100000,1,0.1,0.01,,0.023379357681475425,1371.8054247380344,7748.0,140.0,0.11
count_min__eps_0p10,count_min,kosarak,non-interleaved,3.0,200000,1,0.1,0.01,,0.023333284629072,2527.624882366269,7572.0,140.0,0.09
count_min__eps_0p10,count_min,kosarak,non-interleaved,3.0,500000,1,0.1,0.01,,0.02344276888276947,5660.181843031644,7572.0,140.0,0.09
count_min__eps_0p10,count_min,kosarak,non-interleaved,4.0,50000,1,0.1,0.01,,0.023477900025119316,730.8694019446915,7572.0,140.0,0.12
count_min__eps_0p10,count_min,kosarak,non-interleaved,4.0,100000,1,0.1,0.01,,0.023383011685229143,1375.4367537825854,7676.0,140.0,0.12
count_min__eps_0p10,count_min,kosarak,non-interleaved,4.0,200000,1,0.1,0.01,,0.02330743539038527,2537.0047521144543,7572.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,kosarak,non-interleaved,4.0,500000,1,0.1,0.01,,0.02339585056101678,5638.188545040067,7572.0,140.0,0.08
count_min__eps_0p10,count_min,kosarak,non-interleaved,6.0,50000,1,0.1,0.01,,0.023502807148175726,740.7694376388748,7572.0,140.0,0.11
count_min__eps_0p10,count_min,kosarak,non-interleaved,6.0,100000,1,0.1,0.01,,0.023435993645029504,1372.6158063290486,7644.0,140.0,0.11
count_min__eps_0p10,count_min,kosarak,non-interleaved,6.0,200000,1,0.1,0.01,,0.023421539153915392,2502.92067549747,7572.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,kosarak,non-interleaved,6.0,500000,1,0.1,0.01,,0.02348714133962821,5591.255810139698,7572.0,140.0,0.09
count_min__eps_0p10,count_min,kosarak,non-interleaved,8.0,50000,1,0.1,0.01,,0.023143270791075053,728.0591820798094,7572.0,140.0,0.14
count_min__eps_0p10,count_min,kosarak,non-interleaved,8.0,100000,1,0.1,0.01,,0.02329999268671725,1371.7423286837989,7620.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,kosarak,non-interleaved,8.0,200000,1,0.1,0.01,,0.023408016084873372,2523.0846790915607,7572.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,kosarak,non-interleaved,8.0,500000,1,0.1,0.01,,0.02355823543249204,5594.906303847895,7572.0,140.0,0.10000000000000002
count_min__eps_0p10,count_min,uniform,non-interleaved,1.5,50000,1,0.1,0.01,,0.034769590412621364,1533.2155057477075,7572.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,1.5,100000,1,0.1,0.01,,0.03501356048482928,2684.3050197108078,7892.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,1.5,200000,1,0.1,0.01,,0.03519928337840024,4064.182084505862,7596.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,1.5,500000,1,0.1,0.01,,0.03539979156097757,4575.256291906644,7572.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,2.0,50000,1,0.1,0.01,,0.034878231292517006,1534.908317680306,7572.0,140.0,0.01
count_min__eps_0p10,count_min,uniform,non-interleaved,2.0,100000,1,0.1,0.01,,0.03500919339518095,2686.5103637166167,7820.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,2.0,200000,1,0.1,0.01,,0.035241062636587536,4071.018251784138,7572.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,2.0,500000,1,0.1,0.01,,0.03540006809512787,4563.842871911206,7572.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,3.0,50000,1,0.1,0.01,,0.03471401343921809,1523.9463869374872,7572.0,140.0,0.01
count_min__eps_0p10,count_min,uniform,non-interleaved,3.0,100000,1,0.1,0.01,,0.03503128919860627,2684.9151001553614,7748.0,140.0,0.0
count_min__eps_0p10,count_min,uniform,non-interleaved,3.0,200000,1,0.1,0.01,,0.03528017223605722,4064.981382388195,7572.0,140.0,0.0
